category,name_en,name_bn,address,google_maps_link,hours,google_rating,google_rating_count,phone,common_sentiment_paraphrased_reference_only,verified
পাসপোর্ট / Passport,"Divisional Passport and Visa Office, Agargaon","বিভাগীয় পাসপোর্ট ও ভিসা অফিস, আগারগাঁও","E, 7 Agargaon Sher-E-Bangla Nagar, Dhaka 1207, Bangladesh",https://www.google.com/maps/search/?api=1&query=Divisional%20Passport%20and%20Visa%20Office%2C%20Agargaon%20E%2C%207%20Agargaon%20Sher-E-Bangla%20Nagar%2C%20Dhaka%201207%2C%20Bangladesh&query_place_id=ChIJQU_buU3HVTcRkbBOCEyoLmc,"Sun,Mon-Thu 9:00 AM-5:00 PM, Fri-Sat Closed",3.6,1829,,"Many describe the process as much smoother than in past years with brokers largely gone, but say instructions on which documents need photocopies vs originals are often unclear, causing repeat visits.",TRUE
পাসপোর্ট / Passport,"Regional Passport Office, Dhaka Cantonment","আঞ্চলিক পাসপোর্ট অফিস, ঢাকা সেনানিবাস","Road 4, Dhaka Cantonment, Dhaka 1206, Bangladesh",https://www.google.com/maps/search/?api=1&query=Regional%20Passport%20Office%2C%20Dhaka%20Cantonment%20Road%204%2C%20Dhaka%20Cantonment%2C%20Dhaka%201206%2C%20Bangladesh&query_place_id=ChIJFXY1lCLHVTcRYFDk236x4-4,"Sun,Mon-Thu 9:00 AM-5:00 PM, Fri-Sat Closed",4.3,107,+880 1709-989900,"Reviewers describe fast, reliable service when documents are complete, with accessible arrangements noted for elderly or disabled applicants.",TRUE
পাসপোর্ট / Passport,"Regional Passport Office, Uttara","আঞ্চলিক পাসপোর্ট অফিস, উত্তরা","Plot 5, Road 3/B, Block H, Dhaka 1230, Bangladesh",https://www.google.com/maps/search/?api=1&query=Regional%20Passport%20Office%2C%20Uttara%20Plot%205%2C%20Road%203/B%2C%20Block%20H%2C%20Dhaka%201230%2C%20Bangladesh&query_place_id=ChIJa9L6DgbEVTcRTa2qWVqxurg,"Sun,Mon-Thu 9:00 AM-5:00 PM, Fri-Sat Closed",3.6,800,,Visitors mention a token-based queue system and multiple document-verification rooms; several recommend bringing a full photocopy set in advance.,TRUE
পাসপোর্ট / Passport,"Regional Passport Office, Dhaka East (Aftabnagar)","আঞ্চলিক পাসপোর্ট অফিস, ঢাকা পূর্ব (আফতাবনগর)","Jahurul Islam Ave, Dhaka, Bangladesh",https://www.google.com/maps/search/?api=1&query=Regional%20Passport%20Office%2C%20Dhaka%20East%20%28Aftabnagar%29%20Jahurul%20Islam%20Ave%2C%20Dhaka%2C%20Bangladesh&query_place_id=ChIJCTqpV7DHVTcR22JrrBR_BNU,"Sun,Mon-Thu 9:00 AM-5:00 PM, Fri-Sat Closed",3.5,281,+880 1747-176538,"Several recent reviewers report a smooth, broker-free experience taking as little as 20-30 minutes; one notes electricity-bill proof of address is strictly checked.",TRUE
পাসপোর্ট / Passport,"Regional Passport Office, Dhaka West (Mohammadpur)","আঞ্চলিক পাসপোর্ট অফিস, ঢাকা পশ্চিম (মোহাম্মদপুর)","Plot 698/4, Road 1, Mohammadpur, Dhaka, Bangladesh",https://www.google.com/maps/search/?api=1&query=Regional%20Passport%20Office%2C%20Dhaka%20West%20%28Mohammadpur%29%20Plot%20698/4%2C%20Road%201%2C%20Mohammadpur%2C%20Dhaka%2C%20Bangladesh&query_place_id=ChIJ5WUnw3K_VTcRUkgmyUjEW8s,"Sun,Mon-Thu 9:00 AM-4:00 PM, Fri-Sat Closed",3.7,279,+880 1689-852455,"Mixed feedback: some describe multiple redundant verification stops and slow counters, while others report short waits when arriving early with an appointment.",TRUE
জাতীয় পরিচয়পত্র / NID,"Bangladesh Election Commission, Agargaon (HQ)","বাংলাদেশ নির্বাচন কমিশন, আগারগাঁও (প্রধান কার্যালয়)","Nirbachan Bhaban, Agargaon, Dhaka 1207, Bangladesh",https://www.google.com/maps/search/?api=1&query=Bangladesh%20Election%20Commission%2C%20Agargaon%20%28HQ%29%20Nirbachan%20Bhaban%2C%20Agargaon%2C%20Dhaka%201207%2C%20Bangladesh&query_place_id=ChIJO9RlME3HVTcRkKcOMZRx514,"Sun,Mon-Thu 9:00 AM-5:00 PM, Fri-Sat Closed",4.2,698,+880 2-55007514,"Described as a highly secure, professionally run office; can get busy, but staff behavior is generally rated well.",TRUE
জাতীয় পরিচয়পত্র / NID,Election Commission Office of Dhaka District,"নির্বাচন কমিশন কার্যালয়, ঢাকা জেলা","Science Museum to Water Tank Rd, Dhaka, Bangladesh",https://www.google.com/maps/search/?api=1&query=Election%20Commission%20Office%20of%20Dhaka%20District%20Science%20Museum%20to%20Water%20Tank%20Rd%2C%20Dhaka%2C%20Bangladesh&query_place_id=ChIJb8loirPAVTcR44MfW3ii3-U,"Sun,Mon-Thu 9:00 AM-5:00 PM, Fri-Sat Closed",4.1,135,+880 1646-852926,Reviewers say service has become notably faster with more processes now online.,TRUE
জাতীয় পরিচয়পত্র / NID,"Election Commission Office, Sabujbag","নির্বাচন কমিশন কার্যালয়, সবুজবাগ","Nirbachan Bhaban, Agargaon, Dhaka 1207, Bangladesh",https://www.google.com/maps/search/?api=1&query=Election%20Commission%20Office%2C%20Sabujbag%20Nirbachan%20Bhaban%2C%20Agargaon%2C%20Dhaka%201207%2C%20Bangladesh&query_place_id=ChIJgSIdCMO5VTcRriYIPnW_yBQ,"Sun,Mon-Thu 9:00 AM-4:00 PM, Fri-Sat Closed",3.9,102,+880 2-55007514,"Sharply mixed: some praise a smooth NID-correction process, others describe rude staff distracted by phones during busy hours.",TRUE
জাতীয় পরিচয়পত্র / NID,Dhanmondi Election Office,ধানমন্ডি নির্বাচন অফিস,"Green Rd, Dhaka 1205, Bangladesh",https://www.google.com/maps/search/?api=1&query=Dhanmondi%20Election%20Office%20Green%20Rd%2C%20Dhaka%201205%2C%20Bangladesh&query_place_id=ChIJV7IRG7q4VTcRfaFumrFhL1A,"Sun,Mon-Thu 8:00 AM-3:00 PM, Fri-Sat Closed",3.8,45,+880 2-9615570,"Several call staff behavior unexpectedly good for a government office and describe smart-NID collection as quick, though others report corruption and slow service.",TRUE
জাতীয় পরিচয়পত্র / NID,"NID Operation Branch, Election Commission","এনআইডি অপারেশন শাখা, নির্বাচন কমিশন","Electoral Training Institute Bhaban, Agargaon, Dhaka, Bangladesh",https://www.google.com/maps/search/?api=1&query=NID%20Operation%20Branch%2C%20Election%20Commission%20Electoral%20Training%20Institute%20Bhaban%2C%20Agargaon%2C%20Dhaka%2C%20Bangladesh&query_place_id=ChIJf16_1UzHVTcRATbB5X2FIW8,"Sun,Mon-Thu 9:00 AM-5:00 PM, Fri-Sat Closed",4.2,54,,"Reviewers cite quick NID correction and replacement handling, calling it a genuine improvement over past experiences, though one reports a long unresolved wait on a name correction.",TRUE
হাসপাতাল / Hospital,Dhaka Medical College Hospital,ঢাকা মেডিকেল কলেজ হাসপাতাল,"Secretariat Rd, Dhaka 1000, Bangladesh",https://www.google.com/maps/search/?api=1&query=Dhaka%20Medical%20College%20Hospital%20Secretariat%20Rd%2C%20Dhaka%201000%2C%20Bangladesh&query_place_id=ChIJz4dBR-a4VTcRIpVlVTd407M,Open 24 hours,4.3,2775,+880 2-55165130,"Recognized as Bangladesh's largest public hospital, praised for affordable care, but reviewers consistently describe heavy overcrowding and stretched hygiene standards.",TRUE
হাসপাতাল / Hospital,Shaheed Suhrawardy Medical College and Hospital,শহীদ সোহরাওয়ার্দী মেডিকেল কলেজ ও হাসপাতাল,"Sher-E-Bangla Nagar, Dhaka 1207, Bangladesh",https://www.google.com/maps/search/?api=1&query=Shaheed%20Suhrawardy%20Medical%20College%20and%20Hospital%20Sher-E-Bangla%20Nagar%2C%20Dhaka%201207%2C%20Bangladesh&query_place_id=ChIJr3ShDqzAVTcReBKNoOw2UVE,Open 24 hours,4.2,1761,+880 1783-906066,Described as an important general hospital with friendly doctors and low treatment costs; toilet/bathroom cleanliness is flagged as a weak point.,TRUE
হাসপাতাল / Hospital,Kurmitola General Hospital,কুর্মিটোলা জেনারেল হাসপাতাল,"Tongi Diversion Rd, Dhaka 1206, Bangladesh",https://www.google.com/maps/search/?api=1&query=Kurmitola%20General%20Hospital%20Tongi%20Diversion%20Rd%2C%20Dhaka%201206%2C%20Bangladesh&query_place_id=ChIJm8KB2PvGVTcR-vKZS0S-pwk,Open 24 hours,4.3,1815,+880 2-55062388,Praised as clean and well-maintained with a park-like setting; the main complaint is long queues at counters and report collection.,TRUE
হাসপাতাল / Hospital,Government Employees Hospital (Fulbaria),সরকারি কর্মচারী হাসপাতাল (ফুলবাড়িয়া),"College Rd, Dhaka 1000, Bangladesh",https://www.google.com/maps/search/?api=1&query=Government%20Employees%20Hospital%20%28Fulbaria%29%20College%20Rd%2C%20Dhaka%201000%2C%20Bangladesh&query_place_id=ChIJufz_9vq4VTcRxCZO9-Ti1GY,Open 24 hours,4.3,362,+880 1404-430810,"Reviewers call it one of the cleanest government hospitals with a recently renovated building, though department coverage is seen as limited and staff behavior inconsistent.",TRUE
হাসপাতাল / Hospital,Kuwait Bangladesh Friendship Government Hospital,কুয়েত বাংলাদেশ মৈত্রী সরকারি হাসপাতাল,"Isakha Ave, Uttara, Dhaka 1231, Bangladesh",https://www.google.com/maps/search/?api=1&query=Kuwait%20Bangladesh%20Friendship%20Government%20Hospital%20Isakha%20Ave%2C%20Uttara%2C%20Dhaka%201231%2C%20Bangladesh&query_place_id=ChIJf075ETDEVTcR4DIvQtE-ZKc,Open 24 hours,4.1,396,+880 1720-013923,Valued for very low-cost specialist visits and a free pharmacy; one review disputes the advertised 24/7 emergency coverage as unreliable in practice.,TRUE
